global_step,wall_time_s,rolling_steps,avg_reward,avg_mtm_pnl,avg_mtm_pnl_smoothed,orders_submitted,fills,bankrupts,loss_cap_hits,green_rate,avg_spread_ticks,avg_back_over,avg_lay_over,avg_over_diff,avg_tto_seconds,avg_liq_back,avg_liq_lay,actor_loss,critic_loss,ent_coef,learning_rate,n_updates,exposure_by_runner_json
1000,29.697962760925293,1000,0.19875982788849356,66.48827023706653,64.2472809334989,1000,800,4,4,0.899,2975.459744995117,4.113206390202046,4.001952798187733,-0.11125359201431274,485.388,125.54074104690552,128.82384955883026,46.61338806152344,7.585793495178223,0.1297522634267807,0.0003,899.0,"[1.0000,1.0000,0.9343,0.0000,0.9998,0.0294,0.9240,0.1409,0.7518,0.0000,0.0000,0.9889]"
2000,64.19884848594666,1000,0.1048356366076208,35.422971714534164,30.873077923582176,1000,841,4,4,0.649,388.7457501220703,2.481594469308853,2.639343812763691,0.1577493434548378,450.613,1649.198908870697,1473.308242767334,57.027225494384766,9.211055755615234,0.15630656480789185,0.0003,1899.0,"[1.0000,0.9988,0.9557,0.0000,0.0949,0.0000,0.9974,0.9999,0.0000,0.9796,1.0000,0.0000]"
3000,98.03611755371094,1000,0.11684466631282885,39.15727044136822,38.97936804793935,1000,799,3,3,0.575,861.9989172821045,5.4363751676082614,5.376637342691422,-0.0597378249168396,454.404,137.73490983200074,93.6762606716156,41.34401321411133,8.644174575805664,0.13122673332691193,0.0003,2899.0,"[0.0740,0.9573,0.6555,0.9129,0.9791,0.5741,0.7950,0.3253,0.9928,0.4545,0.9506,0.0000]"
4000,137.33222007751465,1000,0.03487774252594778,11.765431409593374,11.693879731674425,1000,789,3,3,0.74,320.05666700744626,3.341915351688862,3.2845167527198793,-0.057398598968982695,977.314,897.6834159297944,499.3560210952759,34.06473159790039,2.5934395790100098,0.1005203127861023,0.0003,3899.0,"[0.0000,0.1505,0.8183,0.6721,0.7967,0.0000,0.1112,0.1537,0.0000,0.6756,0.9309,0.0000]"
5000,176.41653180122375,1000,0.05257916069156839,17.60872891967574,14.260376051067167,1000,816,5,5,0.908,417.9768319206238,2.6297863220572473,2.599070841372013,-0.03071548068523407,1060.899,822.9294134483338,524.7584444923401,30.121538162231445,5.59208345413208,0.07549673318862915,0.0003,4899.0,"[0.7051,0.0000,0.0472,0.0000,0.3337,0.3645,0.2943,0.9096,0.2395,0.0000,0.0000,0.0000]"
6000,215.78128814697266,1000,0.06232750177026537,21.252112447969616,19.75641876908755,1000,830,5,5,0.544,1023.7995011444092,2.5762795265913008,2.5345820902585983,-0.041697436332702634,404.601,299.3489018859863,320.3343012561798,25.861347198486328,4.468994140625,0.05601320415735245,0.0003,5899.0,"[0.6711,0.1276,0.8953,0.2035,0.8194,0.0047,0.8824,0.6468,0.8894,0.6921,0.8853,0.0000]"
7000,252.89468216896057,1000,0.12380944739579627,41.71468370114267,39.13592737041734,1000,845,5,5,0.555,1360.0066649169921,2.5178295449614523,2.437246823489666,-0.0805827214717865,549.25,328.76109963035583,238.5053292236328,23.901824951171875,3.288390874862671,0.041701219975948334,0.0003,6899.0,"[0.0625,0.0794,0.8202,0.4609,0.3663,0.1976,0.5463,0.3938,0.3698,0.0000,0.5203,0.0000]"
8000,290.54559302330017,1000,0.02399590568619385,9.083743118380283,8.97852901092878,1000,856,6,6,0.393,382.7645828857422,2.3860585533976555,2.389166114807129,0.003107561409473419,550.853,1529.0848986206054,1285.1825729236602,20.773639678955078,1.5136916637420654,0.031113876029849052,0.0003,7899.0,"[0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8136,0.0003,0.0000]"
9000,327.503160238266,1000,0.0943496874391567,31.591680666521192,30.893427692803858,1000,784,4,4,0.885,1298.9634148101807,3.3591751784086226,3.244633036494255,-0.11454214191436768,609.838,133.2348699531555,109.48653982543945,17.46457290649414,1.5764894485473633,0.02323545515537262,0.0003,8899.0,"[0.9293,0.7494,0.3383,0.1998,0.8284,0.1963,0.1310,0.8438,0.1618,0.0347,0.6899,0.0000]"
10000,364.2137212753296,1000,0.052455419449815965,17.904068284365348,17.278117173499602,1000,653,5,5,0.656,593.1225818166732,3.2057097425460817,3.129842724561691,-0.07586701798439026,263.755,220.296239982605,233.1266931629181,16.560665130615234,1.378392219543457,0.01738646999001503,0.0003,9899.0,"[0.0000,0.0289,0.2321,0.0958,0.0402,0.0000,0.0885,0.0000,0.0000,0.0000,0.0000,0.0000]"
11000,400.85386514663696,1000,0.30844021130497823,103.12752224562023,93.16600736062719,1000,657,5,5,0.642,4767.894930099487,2.97554182100296,2.7991155760288238,-0.17642624497413636,349.331,1222.7467637634277,1024.9341010684966,17.965017318725586,2.7698512077331543,0.013140157796442509,0.0003,10899.0,"[0.0000,0.0000,1.0000,0.7163,0.0000,0.0000,0.0000,0.9944,0.0000,0.0000,0.3052,0.0783]"
12000,438.7207922935486,1000,0.19214326898392028,64.54008315810562,66.60248751020872,1000,662,5,5,0.458,1560.9538332061768,2.5026198474168777,2.4277531824111938,-0.0748666650056839,513.479,772.15338032341,490.3276547298431,15.604120254516602,2.320709228515625,0.010015198029577732,0.0003,11899.0,"[0.7967,0.4282,0.2969,0.9759,0.9073,0.6242,0.9883,0.8181,0.8958,0.5060,0.4293,0.0000]"
13000,476.06953620910645,1000,0.15299342017341405,51.15100488448143,49.98743932419875,1000,487,2,2,0.897,776.9476653442383,3.095260955810547,2.9637889204025267,-0.13147203540802002,586.048,194.47161198043824,214.08602286720276,14.071061134338379,7.950927734375,0.0077146547846496105,0.0003,12899.0,"[0.8555,0.9108,0.9733,0.6710,0.8608,0.7029,0.7475,0.2505,0.6532,0.8925,0.4145,0.0000]"
14000,514.7002935409546,1000,0.38479076717597127,128.6773235891592,119.91352120578163,1000,485,6,6,0.738,1530.1852488155364,3.3870013179779055,3.322212315261364,-0.0647890027165413,331.399,474.2351653556824,341.36542401504516,12.665273666381836,0.9843778610229492,0.0060011642053723335,0.0003,13899.0,"[0.8767,0.7925,0.7959,0.9183,0.7707,0.9844,0.8724,0.9766,0.9920,0.9997,0.9936,0.0000]"
15000,552.4687461853027,1000,0.20345407428963858,68.26402951711417,66.88985404274949,1000,478,8,8,0.493,1016.0092518138886,4.5345822834968565,4.459847403883934,-0.07473487961292268,476.631,275.26211977005005,193.64721892547607,10.108821868896484,1.972596287727356,0.0047270203940570354,0.0003,14899.0,"[0.2257,0.0000,0.0000,0.9147,0.9766,0.8946,0.9678,0.0000,0.7348,0.0000,0.0486,0.0000]"
16000,590.06330037117,1000,0.09630363258242142,32.319468283772466,31.013360034356346,1000,186,2,2,0.838,781.1415815811157,3.657878403186798,3.544397778511047,-0.11348062467575074,654.102,796.870480884552,495.7615910682678,9.246124267578125,2.7663283348083496,0.0037936989683657885,0.0003,15899.0,"[0.0000,0.0000,0.0572,0.1878,0.3477,0.9797,0.2283,0.9647,0.9932,0.9655,0.9961,0.0000]"
17000,626.6218023300171,1000,0.17758019434322705,59.39957979830727,59.272995526344495,1000,181,0,0,0.714,750.1082496943474,6.450718930482864,6.387652606248856,-0.06306632423400879,308.68,209.18615872192382,168.8917313041687,5.640440940856934,0.5632687211036682,0.0031306541059166193,0.0003,16899.0,"[0.9913,0.9388,0.5173,0.9225,0.9754,0.5407,0.9954,0.8557,0.9916,0.9960,0.8306,0.0000]"
18000,663.8517780303955,1000,0.030869726577125674,11.701945409925335,10.813579292322684,1000,369,8,8,0.44,3163.3976654853823,2.997198323011398,3.1072256399989127,0.1100273169875145,304.262,677.356239107132,477.1386975278854,6.439399242401123,3.027346611022949,0.002658277051523328,0.0003,17899.0,"[0.0000,0.1751,0.0007,0.3423,0.0001,0.2351,0.0011,0.0435,0.5265,0.3873,0.2031,0.0000]"
19000,701.7170295715332,1000,0.6485634022581362,216.40771719535812,211.78914582572318,1000,429,2,2,0.725,6102.484075683594,3.8064367852211,3.7201650742292403,-0.08627171099185943,377.796,240.54768166542053,199.90918762493135,5.456011772155762,0.955726146697998,0.00231044995598495,0.0003,18899.0,"[0.0715,0.8897,0.7641,0.8905,0.8110,0.3727,0.0821,0.9357,0.9888,0.9323,0.4715,0.0000]"
20000,738.9445576667786,1000,0.0690231237271355,23.27558349462715,22.838498679627797,1000,728,3,3,0.617,510.3842501220703,5.065785413086414,5.000778453469277,-0.06500695961713791,692.483,175.186051235199,197.28596756458282,3.30336856842041,1.2573550939559937,0.0021072416566312313,0.0003,19899.0,"[0.0000,0.3788,0.4164,0.0000,0.3799,0.0000,0.3442,0.6344,0.3704,0.2459,0.3294,0.0000]"
21000,775.4596531391144,1000,1.1051840896051424,368.515419300206,364.85044091700485,1000,794,0,0,0.373,7312.348247314453,4.056849703550339,3.9252838683128357,-0.13156583523750306,281.7,100.52286872863769,50.60157915496826,2.4323384761810303,1.0311574935913086,0.0020275593269616365,0.0003,20899.0,"[0.8850,0.8230,0.6088,0.9802,0.3718,0.6333,0.9036,0.7987,0.9445,0.5791,0.2028,0.0000]"
22000,812.9901647567749,1000,0.0711562717152592,24.031006421025843,24.540158654422825,1000,805,4,4,0.772,1170.0687485046387,3.1681795164942743,3.3077368374466896,0.13955732095241546,727.452,263.6526829223633,173.8142099571228,1.040128469467163,1.1476635932922363,0.0020264952909201384,0.0003,21899.0,"[0.0000,0.0000,0.0000,0.0000,0.4864,0.0923,0.4577,0.3275,0.0925,0.6573,0.9916,0.0000]"
23000,856.3790037631989,1000,0.26512011275138503,89.16030157890171,84.30180807791807,1000,490,5,5,0.698,2812.9204976797105,3.2074534910917283,3.2700358964800835,0.06258240538835526,365.359,108.33742985534668,86.75907957649231,-0.19684866070747375,1.7925992012023926,0.002037924947217107,0.0003,22899.0,"[0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000]"
24000,894.3334603309631,1000,0.2707492009894049,90.42745242576301,88.47890740913097,1000,277,4,4,0.923,8186.580862762451,3.088307385325432,2.8068321543335917,-0.28147523099184035,440.37,131.19454955101014,93.3515595035553,-0.40352827310562134,1.1032143831253052,0.0020565399900078773,0.0003,23899.0,"[1.0000,0.1342,0.0464,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000]"
25000,931.6307735443115,1000,0.46667815014126246,155.89349610468744,145.81960706130965,1000,380,2,2,0.636,3563.2185765228273,3.78657409453392,3.40286772108078,-0.38370637345314024,736.256,139.5288581161499,74.39275993919372,-3.099508285522461,4.219681739807129,0.0021136722061783075,0.0003,24899.0,"[0.0000,0.0000,0.1494,0.6339,0.0000,0.0000,0.7614,0.0002,0.2393,0.0000,0.0000,0.0000]"
26000,971.0733807086945,1000,0.4157777997839912,138.7569933457924,138.23129255954706,1000,356,3,3,0.94,7675.13057749939,3.8146657041311265,3.722356254339218,-0.09230944979190826,421.77,109.95379035568237,103.58936905574798,-5.384120464324951,2.736670732498169,0.0022647788282483816,0.0003,25899.0,"[0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6188,0.0000,0.0000,0.0000,0.0000]"
27000,1009.2939674854279,1000,0.4348068152764736,145.13722183438904,140.88150203221923,1000,750,3,3,0.841,4226.191433883667,3.1806314923763277,3.0059385395646094,-0.17469295281171798,478.01,245.06395915031433,163.59384078407288,-6.395280838012695,3.502906322479248,0.002341121667996049,0.0003,26899.0,"[0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000]"
28000,1047.8574769496918,1000,0.06903355644903786,23.322285463111474,22.81613109667551,1000,899,2,2,0.871,2061.7239980773925,3.755033913612366,3.7087085444927217,-0.04632536911964417,420.707,202.9892597255707,166.54952052021028,-7.212130546569824,3.462824821472168,0.002324249129742384,0.0003,27899.0,"[0.6215,0.0000,0.0000,0.0000,0.8784,0.0000,0.0000,0.1611,0.0000,0.1252,0.0000,0.0000]"
29000,1087.0027811527252,1000,0.17024407856349036,57.02718560587801,56.80128970315602,1000,622,3,3,0.755,3059.3358233184813,2.4161163654327393,2.389018390595913,-0.027097974836826324,235.562,501.7429992332458,473.64008694839475,-6.693813323974609,3.001974105834961,0.0024252699222415686,0.0003,28899.0,"[0.9778,0.8279,0.4442,0.9124,0.0242,0.6090,0.7066,0.6681,0.4436,0.4123,0.4961,0.0000]"
30000,1125.098120689392,1000,0.010668022139069762,3.852350628021872,3.5948030970274587,1000,850,4,4,0.673,992.571999458313,2.9008997436761854,2.820113823890686,-0.08078591978549957,430.851,785.5213871860504,592.3106143245697,-8.275376319885254,4.2827372550964355,0.0024458118714392185,0.0003,29899.0,"[0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0102,0.4334,0.0459,0.0000]"
31000,1166.4904189109802,1000,0.028379026230705023,9.687806940472928,7.724039930393578,1000,901,3,3,0.667,1670.5821654052734,3.1784740722775457,3.0320707211494446,-0.14640335112810135,322.264,149.73594996833802,93.61347954559326,-5.9425950050354,2.6769230365753174,0.002411135472357273,0.0003,30899.0,"[0.4995,0.0000,0.0022,0.0130,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000]"
32000,1209.8113462924957,1000,0.22457383659006672,75.06303303491553,73.4816956802602,1000,729,3,3,0.644,1871.3096595916747,3.7018663871288298,3.540144663453102,-0.16172172367572785,375.424,195.82823992156983,154.65641004943848,-6.479685306549072,2.8870491981506348,0.0024560438469052315,0.0003,31899.0,"[0.9990,0.0000,0.0000,0.0000,0.9442,0.8714,0.0000,0.1546,0.0000,0.8412,0.5869,0.0000]"
33000,1256.3479928970337,1000,0.06734331920775002,26.12948230098188,25.40898371469662,1000,861,4,4,0.801,2694.2330038070677,3.641988294363022,3.5455449299812316,-0.09644336438179016,377.625,202.51583030128478,180.82229969024658,-4.830294609069824,5.664674282073975,0.002342498628422618,0.0003,32899.0,"[0.9810,0.0000,0.0588,0.0000,0.0000,0.0000,0.8730,0.8109,0.3341,0.2529,0.0000,0.0000]"
34000,1301.6685154438019,1000,0.14059363748540638,47.03324482005834,45.82401381365158,1000,408,2,2,0.919,622.5722514343262,2.7512074999809264,2.6866093777418136,-0.06459812223911285,1336.977,528.1234850502015,214.69099504089357,-6.433159351348877,4.126640796661377,0.0023701610043644905,0.0003,33899.0,"[0.9471,0.0000,0.6596,0.2595,0.3105,0.9949,0.8274,0.7504,0.3625,0.0000,0.8446,0.0000]"
35000,1346.021300315857,1000,0.8789778195849213,293.2689881967455,293.2122331708697,1000,562,1,1,0.657,3925.217516693115,3.05659063911438,2.884395796537399,-0.1721948425769806,971.18,526.8705055828094,276.6783584728241,-9.114437103271484,2.647380828857422,0.00239472184330225,0.0003,34899.0,"[0.0000,0.0000,0.0000,0.0000,0.2183,0.1100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000]"
36000,1390.7888667583466,1000,0.2340268053057782,78.28248814255302,72.79589287586961,1000,763,4,4,0.59,2649.2426692123413,3.4334117671847344,3.253936895132065,-0.17947487205266952,432.334,226.7726416378021,181.58714002037047,-7.315729141235352,4.918387413024902,0.002446761354804039,0.0003,35899.0,"[0.7448,0.9833,0.2331,0.9822,0.9442,0.9757,0.9568,0.8079,0.7655,0.7831,0.9472,0.0000]"
37000,1436.5166611671448,1000,0.26479133704705093,88.58479919380216,83.3447071100585,1000,833,2,2,0.769,2301.7581620941164,1.8114107584357262,1.7509643087387086,-0.06044644969701767,351.448,9927.247357515334,12328.101871591569,-11.12734317779541,11.390523910522461,0.00243684696033597,0.0003,36899.0,"[0.0000,0.0000,0.0000,0.0000,0.0180,0.4235,0.0463,0.0000,0.0000,0.0000,0.0000,0.0000]"
38000,1482.2478556632996,1000,0.06109992727753706,20.66367931452021,21.18535193265864,1000,656,4,4,0.804,373.7372509613037,2.808137320578098,2.7804894356131555,-0.027647884964942932,1209.604,1648.1698466949463,1122.8657195968628,-4.989848613739014,4.5409440994262695,0.0024025714956223965,0.0003,37899.0,"[0.0000,0.0000,0.0369,0.0000,0.7632,0.9490,0.4547,0.8955,0.4467,0.9728,0.0000,0.0000]"
39000,1524.1934072971344,1000,0.035585350533053346,12.03160478466388,11.532345311921118,1000,656,3,3,0.872,570.0969167785645,3.29615292853117,3.2366823073625564,-0.05947062116861344,924.396,533.7499959716797,289.09644831848146,-5.77022647857666,5.841365814208984,0.002313185017555952,0.0003,38899.0,"[0.0000,0.0000,0.9087,0.0000,0.0000,0.2758,0.0000,0.2497,0.0000,0.0000,0.0000,0.0000]"
40000,1563.9315507411957,1000,0.056004381036273115,19.233050321319606,17.762095041640716,1000,780,5,5,0.521,966.2818333892823,3.929795684039593,3.8676552708745002,-0.062140413165092466,524.049,1073.3020644187927,649.5266987800599,-7.322357177734375,9.623748779296875,0.0023738413583487272,0.0003,39899.0,"[0.9548,0.9385,0.8420,0.0000,0.9591,0.0000,0.9613,0.9953,0.9707,0.9267,0.0026,0.0000]"
41000,1602.8394680023193,1000,0.032938515498182254,11.17776270425669,10.551326359785492,1000,753,3,3,0.804,408.38041612243654,3.2395897734165193,3.3174149627685545,0.07782518935203553,606.874,130.61380048751832,105.00877018356323,-4.121951103210449,3.7201075553894043,0.0023317099548876286,0.0003,40899.0,"[0.9228,0.9911,0.7723,0.2260,0.0000,0.5251,0.0000,0.7489,0.0000,0.0000,0.0000,0.0000]"
42000,1640.3128306865692,1000,0.12851325888133397,43.311799061276716,41.719414810902954,1000,597,6,6,0.674,1274.545578491211,3.5529925222992897,3.6936055914759636,0.14061306917667388,319.878,618.0359091453553,483.6520548038483,-4.959203243255615,6.596865177154541,0.0025138771161437035,0.0003,41899.0,"[0.0000,0.0000,0.0000,0.0000,0.1168,0.0832,0.4599,0.1515,0.7286,0.7509,0.2604,0.0000]"
43000,1678.248084783554,1000,0.05530702013730661,20.307960535707885,19.17238176345309,1000,502,6,6,0.78,781.7004158477783,3.161631262898445,3.0948315120339394,-0.06679975086450576,662.325,295.1698816452026,166.23742945289612,-8.379415512084961,10.184776306152344,0.0025204678531736135,0.0003,42899.0,"[0.8972,0.9827,0.2365,0.5075,0.9675,0.0205,0.8506,0.9985,0.8615,0.8973,0.9756,0.0000]"
44000,1716.7175254821777,1000,0.05992098886132044,20.553040798734408,18.18052026275228,1000,747,10,10,0.515,1427.142915594101,1.9351999393701553,1.8885367683768273,-0.0466631709933281,525.482,1051.5907746334076,841.0970629348755,-6.637732028961182,6.014107704162598,0.0025495036970824003,0.0003,43899.0,"[0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9784,0.0000]"
45000,1754.050030708313,1000,0.3343965396632351,111.91809785291093,109.28769422118113,1000,658,3,3,0.616,1940.7952502136231,4.254199638128281,4.236738567650318,-0.017461070477962495,307.88,294.8202898864746,210.11450975894928,-8.54916763305664,7.6048583984375,0.002460311632603407,0.0003,44899.0,"[0.1639,0.2150,0.2739,0.3779,0.7208,0.0179,0.9128,0.0132,0.0298,0.4139,0.1370,0.0000]"
46000,1792.2020230293274,1000,0.05113577821406216,17.409460737001616,16.126122077357852,1000,875,8,8,0.785,1735.2649933109283,3.167494117319584,3.1957309969067573,0.028236879587173462,305.647,1126.4815520915986,877.1812333345413,-2.154944896697998,3.638345718383789,0.002435648115351796,0.0003,45899.0,"[0.8540,0.1247,0.0000,0.0827,0.0352,0.1864,0.2474,0.0000,0.0264,0.9539,0.6409,0.0000]"
47000,1829.8463270664215,1000,0.17061409533173938,57.135973560078014,56.32769679511515,1000,768,6,6,0.551,975.9894978485107,4.195057542681694,4.13849657958746,-0.056560963094234466,439.798,497.09975943756103,421.4946308040619,-1.9627832174301147,5.78716516494751,0.0024111308157444,0.0003,46899.0,"[0.0000,0.3789,0.0000,0.0275,0.0000,0.0000,0.4242,0.0000,0.0591,0.8448,0.8480,0.0000]"
48000,1867.8131725788116,1000,0.05589904637362884,19.053974491909496,16.87687171274891,1000,640,6,6,0.654,783.8851687316894,5.262612610518932,5.2580706685781475,-0.0045419419407844545,372.227,245.26503142738343,212.3393921394348,-2.960259437561035,1.7645305395126343,0.0024563693441450596,0.0003,47899.0,"[0.9298,0.9637,0.9699,0.0895,0.0708,0.3110,0.2011,0.6138,0.1424,0.5193,0.1528,0.0000]"
49000,1907.8463237285614,1000,0.048416285738495844,16.33839767440215,15.506577957335983,1000,721,2,2,0.639,4058.5358491630554,4.242931678295135,4.056409248113632,-0.1865224301815033,378.798,140.76832952690125,122.33520019721985,-3.1652262210845947,2.777265787124634,0.002505549229681492,0.0003,48899.0,"[0.6402,0.7948,0.9283,0.9969,0.8663,0.6268,0.8797,0.9722,0.9258,0.9950,0.9894,0.0000]"
